ЭКО-КУЛЬТУРА,268101,"Томаты ЭКО-культура Ардилес коктейльные, 350г",/products/350g-tomaty-kokteylnye-ardiles,189,189
ЭКО-КУЛЬТУРА,401482,"Томаты ЭКО-культура Ароматто черри, 250г",/products/tomaty-cherri-krasnye-250g-401482,229,229
ARTFRUIT,231683,"Авокадо Artfruit Haas спелое, 700г",/products/avokado-hass-speloe-artfruit-700g,739,739
ARTFRUIT,231720,"Киви Artfruit Green свежие 6шт, 550г",/products/kivi-artfruit-green-svezhie-6sht-550g,439,439
ARTFRUIT,231719,"Лайм Artfruit 3шт, 180г",/products/laym-artfruit-3sht-180g,239,239
ARTFRUIT,236413,"Киви Artfruit Red 3шт, 240г",/products/3sht-kivi-red-artfruit,329,329
ARTFRUIT,231687,"Гранадиллы Artfruit 2шт, 260г",/products/granadilly-artfruit-2-sht,519,519
ARTFRUIT,231721,"Манго спелое Artfruit 2шт, 800г",/products/mango-speloe-artfruit-2sht-800g,439,439
ARTFRUIT,248736,"Ананас Artfruit нарезанный, 500г",/products/500g-ananas-narezannyy-artfrut,739,739
ARTFRUIT,236408,"Груша Artfruit азиатская 1шт, 290г",/products/1sht-grusha-aziatskaya-artfruit,189,189
ARTFRUIT,231686,"Виноград белый Artfruit без косточки, 500г",/products/vinograd-belyy-bk-artfruit-500g,439,439
ARTFRUIT,231685,Ананас Artfruit 1.6кг,/products/ananas-artfruit-1-sht,889,889
ARTFRUIT,456683,Лонган Artfruit 250г,/products/longan-456683,299,299
HONEY GOLD,128041,Мандарины Honey Gold медовые,/products/mandariny-nadorkott-knopka-527,289,289
METRO CHEF,104020,METRO Chef Авокадо,/products/avokado-metro-chef-kopka-17,459,499
METRO CHEF,266594,"METRO Chef Яблоки Гала, ~1.5кг",/products/metro-chef-yabloki-gala-15kg,109,109
METRO CHEF,266597,"METRO Chef Яблоки Голден Делишес, ~1.5кг",/products/metro-chef-yabloki-golden-delishes-15kg,109,109
